Customer_Identifier,Recency_Days,Frequency_Orders,Monetary_Value,Discount_Sensitivity
CUSTOMER_0551,10.0,10,632.74,0.35
CUSTOMER_0552,49.0,5,534.56,0.17
CUSTOMER_0553,18.0,14,771.89,0.4
CUSTOMER_0554,24.0,3,194.36,0.6
CUSTOMER_0555,17.0,5,491.39,0.31
CUSTOMER_0556,1.0,6,533.28,0.33
CUSTOMER_0557,5.0,4,692.88,0.14
CUSTOMER_0558,18.0,2,197.24,0.26
CUSTOMER_0559,7.0,5,762.87,0.19
CUSTOMER_0560,2.0,8,921.89,0.36
CUSTOMER_0561,56.0,4,556.47,0.25
CUSTOMER_0562,119.0,16,1283.76,0.56
CUSTOMER_0563,47.0,14,2389.61,0.55
CUSTOMER_0564,58.0,20,2335.78,0.31
CUSTOMER_0565,8.0,7,1066.22,0.02
CUSTOMER_0566,97.0,4,398.06,0.32
CUSTOMER_0567,7.0,5,293.58,0.25
CUSTOMER_0568,91.0,9,1213.14,0.17
CUSTOMER_0569,158.0,6,259.6,0.48
CUSTOMER_0570,37.0,14,1523.61,0.07
CUSTOMER_0571,119.0,10,724.05,0.27
CUSTOMER_0572,25.0,16,2086.09,0.25
CUSTOMER_0573,9.0,5,872.0,0.06
CUSTOMER_0574,17.0,12,1275.41,0.33
CUSTOMER_0575,27.0,5,789.95,0.24
CUSTOMER_0576,2.0,8,893.96,0.38
CUSTOMER_0577,29.0,1,113.14,0.07
CUSTOMER_0578,119.0,20,3414.62,0.32
CUSTOMER_0579,6.0,7,1162.26,0.41
CUSTOMER_0580,47.0,3,470.41,0.43
CUSTOMER_0581,72.0,7,569.7,0.05
CUSTOMER_0582,86.0,11,1266.11,0.14
CUSTOMER_0583,97.0,5,364.78,0.19
CUSTOMER_0584,22.0,7,770.53,0.41
CUSTOMER_0585,114.0,7,813.02,0.3
CUSTOMER_0586,42.0,6,980.25,0.21
CUSTOMER_0587,5.0,4,660.0,0.58
CUSTOMER_0588,19.0,7,671.17,0.09
CUSTOMER_0589,38.0,8,332.26,0.2
CUSTOMER_0590,9.0,7,1117.1,0.36
CUSTOMER_0591,31.0,12,818.37,0.33
CUSTOMER_0592,33.0,4,541.83,0.36
CUSTOMER_0593,5.0,4,210.84,0.23
CUSTOMER_0594,25.0,3,301.35,0.31
CUSTOMER_0595,44.0,5,872.73,0.06
CUSTOMER_0596,21.0,8,449.53,0.16
CUSTOMER_0597,1.0,6,618.27,0.18
CUSTOMER_0598,1.0,3,273.34,0.32
CUSTOMER_0599,13.0,12,2014.08,0.12
CUSTOMER_0600,78.0,1,141.67,0.38
CUSTOMER_0601,8.0,9,706.82,0.22
CUSTOMER_0602,30.0,2,120.44,0.34
CUSTOMER_0603,8.0,4,497.24,0.16
CUSTOMER_0604,12.0,12,1069.23,0.24
CUSTOMER_0605,57.0,1,149.5,0.23
CUSTOMER_0606,39.0,3,143.32,0.22
CUSTOMER_0607,3.0,10,661.87,0.55
CUSTOMER_0608,17.0,10,1386.63,0.35
CUSTOMER_0609,1.0,1,63.94,0.27
CUSTOMER_0610,20.0,17,2732.96,0.27
CUSTOMER_0611,33.0,2,107.09,0.21
CUSTOMER_0612,4.0,3,207.7,0.38
CUSTOMER_0613,10.0,4,700.97,0.11
CUSTOMER_0614,15.0,1,117.49,0.52
CUSTOMER_0615,76.0,1,156.81,0.17
CUSTOMER_0616,150.0,18,1265.95,0.15
CUSTOMER_0617,1.0,8,1048.96,0.45
CUSTOMER_0618,43.0,14,1991.51,0.06
CUSTOMER_0619,14.0,8,733.12,0.58
CUSTOMER_0620,15.0,1,138.88,0.21
CUSTOMER_0621,42.0,5,612.05,0.47
CUSTOMER_0622,75.0,11,1037.65,0.36
CUSTOMER_0623,90.0,4,472.21,0.29
CUSTOMER_0624,26.0,7,849.96,0.5
CUSTOMER_0625,13.0,13,886.03,0.2
CUSTOMER_0626,46.0,7,700.46,0.4
CUSTOMER_0627,9.0,9,798.41,0.33
CUSTOMER_0628,25.0,4,388.63,0.27
CUSTOMER_0629,13.0,4,583.57,0.2
CUSTOMER_0630,32.0,12,1286.19,0.04
CUSTOMER_0631,8.0,7,1183.98,0.25
CUSTOMER_0632,6.0,6,492.46,0.41
CUSTOMER_0633,75.0,6,635.39,0.23
CUSTOMER_0634,3.0,16,2423.66,0.31
CUSTOMER_0635,21.0,14,1675.23,0.12
CUSTOMER_0636,7.0,9,1039.67,0.05
CUSTOMER_0637,1.0,8,441.49,0.21
CUSTOMER_0638,1.0,1,124.83,0.41
CUSTOMER_0639,6.0,9,693.97,0.29
CUSTOMER_0640,60.0,9,1605.09,0.14
CUSTOMER_0641,10.0,7,616.31,0.07
CUSTOMER_0642,90.0,6,999.33,0.48
CUSTOMER_0643,26.0,1,122.72,0.26
CUSTOMER_0644,17.0,5,449.01,0.29
CUSTOMER_0645,26.0,6,698.32,0.39
CUSTOMER_0646,22.0,6,953.04,0.02
CUSTOMER_0647,43.0,3,516.71,0.19
CUSTOMER_0648,10.0,1,51.23,0.11
CUSTOMER_0649,13.0,3,292.54,0.11
CUSTOMER_0650,67.0,5,435.64,0.2
CUSTOMER_0651,88.0,7,337.78,0.26
CUSTOMER_0652,67.0,9,1148.23,0.4
CUSTOMER_0653,16.0,5,820.44,0.41
CUSTOMER_0654,45.0,7,692.62,0.15
CUSTOMER_0655,19.0,1,118.59,0.33
CUSTOMER_0656,21.0,5,639.38,0.19
CUSTOMER_0657,7.0,5,495.02,0.42
CUSTOMER_0658,27.0,4,257.0,0.4
CUSTOMER_0659,6.0,1,119.28,0.11
CUSTOMER_0660,12.0,1,169.53,0.29
CUSTOMER_0661,58.0,7,948.84,0.11
CUSTOMER_0662,7.0,4,225.54,0.27
CUSTOMER_0663,2.0,10,772.81,0.78
CUSTOMER_0664,2.0,1,66.46,0.17
CUSTOMER_0665,85.0,3,393.23,0.28
CUSTOMER_0666,21.0,4,589.79,0.27
CUSTOMER_0667,16.0,19,1153.94,0.19
CUSTOMER_0668,50.0,2,345.91,0.38
CUSTOMER_0669,54.0,14,1684.82,0.71
CUSTOMER_0670,12.0,5,685.63,0.22
CUSTOMER_0671,35.0,20,3488.69,0.19
CUSTOMER_0672,44.0,6,336.12,0.53
CUSTOMER_0673,32.0,4,683.13,0.26
CUSTOMER_0674,5.0,4,267.01,0.3
CUSTOMER_0675,63.0,6,598.38,0.1
CUSTOMER_0676,23.0,2,309.06,0.19
CUSTOMER_0677,10.0,17,2805.32,0.07
CUSTOMER_0678,17.0,19,2143.94,0.19
CUSTOMER_0679,1.0,2,244.32,0.18
CUSTOMER_0680,4.0,8,1118.54,0.27
CUSTOMER_0681,44.0,5,799.48,0.43
CUSTOMER_0682,1.0,1,101.12,0.34
CUSTOMER_0683,16.0,20,3089.66,0.05
CUSTOMER_0684,22.0,9,985.42,0.14
CUSTOMER_0685,2.0,7,735.65,0.18
CUSTOMER_0686,108.0,5,513.62,0.25
CUSTOMER_0687,8.0,2,210.92,0.05
CUSTOMER_0688,11.0,1,174.99,0.46
CUSTOMER_0689,11.0,5,604.05,0.16
CUSTOMER_0690,8.0,3,525.23,0.15
CUSTOMER_0691,1.0,5,355.85,0.3
CUSTOMER_0692,39.0,9,1293.5,0.07
CUSTOMER_0693,102.0,20,3057.61,0.09
CUSTOMER_0694,8.0,1,149.42,0.28
CUSTOMER_0695,33.0,1,113.51,0.27
CUSTOMER_0696,41.0,4,463.08,0.43
CUSTOMER_0697,57.0,7,1106.49,0.07
CUSTOMER_0698,16.0,6,944.2,0.52
CUSTOMER_0699,11.0,5,303.09,0.26
CUSTOMER_0700,12.0,12,1881.07,0.19
CUSTOMER_0701,37.0,7,715.86,0.23
CUSTOMER_0702,51.0,11,842.95,0.57
CUSTOMER_0703,6.0,11,1789.4,0.25
CUSTOMER_0704,14.0,1,108.09,0.35
CUSTOMER_0705,70.0,16,2483.78,0.1
CUSTOMER_0706,49.0,1,116.19,0.18
CUSTOMER_0707,126.0,3,109.3,0.41
CUSTOMER_0708,42.0,7,782.16,0.15
CUSTOMER_0709,15.0,2,111.53,0.42
CUSTOMER_0710,27.0,9,1330.24,0.21
CUSTOMER_0711,32.0,10,827.01,0.61
CUSTOMER_0712,2.0,13,1356.55,0.57
CUSTOMER_0713,24.0,4,218.18,0.37
CUSTOMER_0714,37.0,3,228.77,0.1
CUSTOMER_0715,5.0,3,471.26,0.05
CUSTOMER_0716,46.0,1,74.65,0.09
CUSTOMER_0717,26.0,1,150.72,0.15
CUSTOMER_0718,91.0,1,162.64,0.45
CUSTOMER_0719,1.0,17,2312.09,0.13
CUSTOMER_0720,9.0,4,596.39,0.32
CUSTOMER_0721,28.0,4,246.02,0.21
CUSTOMER_0722,11.0,2,136.9,0.33
CUSTOMER_0723,38.0,4,700.02,0.24
CUSTOMER_0724,43.0,3,398.46,0.19
CUSTOMER_0725,3.0,9,1187.53,0.06
CUSTOMER_0726,22.0,8,1108.21,0.22
CUSTOMER_0727,21.0,11,1122.07,0.3
CUSTOMER_0728,14.0,10,513.66,0.22
CUSTOMER_0729,81.0,4,584.23,0.1
CUSTOMER_0730,53.0,5,655.5,0.17
CUSTOMER_0731,36.0,4,450.72,0.55
CUSTOMER_0732,38.0,6,1028.93,0.29
CUSTOMER_0733,19.0,1,81.6,0.23
CUSTOMER_0734,76.0,6,485.62,0.11
CUSTOMER_0735,36.0,18,2881.73,0.39
CUSTOMER_0736,39.0,6,895.94,0.41
CUSTOMER_0737,59.0,5,570.34,0.47
CUSTOMER_0738,10.0,2,157.28,0.25
CUSTOMER_0739,49.0,19,1420.12,0.64
CUSTOMER_0740,7.0,5,674.06,0.4
CUSTOMER_0741,13.0,8,767.84,0.19
CUSTOMER_0742,12.0,10,1567.58,0.14
CUSTOMER_0743,115.0,4,721.09,0.21
CUSTOMER_0744,58.0,6,926.58,0.24
CUSTOMER_0745,36.0,2,149.89,0.16
CUSTOMER_0746,39.0,17,2561.56,0.46
CUSTOMER_0747,25.0,18,1646.84,0.14
CUSTOMER_0748,88.0,11,732.22,0.29
CUSTOMER_0749,21.0,2,110.27,0.43
CUSTOMER_0750,14.0,7,677.35,0.22
CUSTOMER_0751,5.0,2,332.42,0.27
CUSTOMER_0752,46.0,4,335.32,0.5
CUSTOMER_0753,40.0,2,131.83,0.06
CUSTOMER_0754,15.0,4,740.99,0.15
CUSTOMER_0755,1.0,10,470.33,0.45
CUSTOMER_0756,55.0,6,908.27,0.03
CUSTOMER_0757,1.0,4,347.92,0.42
CUSTOMER_0758,36.0,7,352.89,0.7
CUSTOMER_0759,105.0,6,1022.31,0.05
CUSTOMER_0760,17.0,4,264.08,0.14
CUSTOMER_0761,8.0,7,821.37,0.48
CUSTOMER_0762,37.0,7,551.52,0.17
CUSTOMER_0763,51.0,2,157.67,0.2
CUSTOMER_0764,24.0,3,145.54,0.37
CUSTOMER_0765,102.0,13,801.79,0.24
CUSTOMER_0766,2.0,3,131.75,0.15
CUSTOMER_0767,21.0,7,1028.14,0.21
CUSTOMER_0768,38.0,1,108.01,0.08
CUSTOMER_0769,60.0,5,465.91,0.05
CUSTOMER_0770,6.0,8,757.39,0.29
CUSTOMER_0771,48.0,1,173.73,0.19
CUSTOMER_0772,24.0,5,816.76,0.06
CUSTOMER_0773,15.0,11,1564.27,0.15
CUSTOMER_0774,4.0,5,801.43,0.12
CUSTOMER_0775,60.0,11,952.57,0.43
CUSTOMER_0776,5.0,4,380.33,0.09
CUSTOMER_0777,11.0,12,1513.17,0.4
CUSTOMER_0778,10.0,10,1282.38,0.2
CUSTOMER_0779,62.0,4,416.25,0.24
CUSTOMER_0780,34.0,6,557.87,0.32
CUSTOMER_0781,48.0,18,3226.78,0.18
CUSTOMER_0782,9.0,6,909.19,0.55
CUSTOMER_0783,29.0,1,100.15,0.2
CUSTOMER_0784,25.0,5,730.98,0.26
CUSTOMER_0785,54.0,20,1615.52,0.1
CUSTOMER_0786,71.0,4,217.59,0.35
CUSTOMER_0787,1.0,17,1578.35,0.06
CUSTOMER_0788,34.0,3,320.56,0.23
CUSTOMER_0789,2.0,6,260.01,0.2
CUSTOMER_0790,24.0,11,1701.96,0.19
CUSTOMER_0791,10.0,16,1461.21,0.32
CUSTOMER_0792,11.0,10,1225.7,0.44
CUSTOMER_0793,13.0,1,55.67,0.01
CUSTOMER_0794,29.0,9,600.53,0.29
CUSTOMER_0795,12.0,3,486.19,0.38
CUSTOMER_0796,40.0,2,226.18,0.11
CUSTOMER_0797,16.0,3,521.41,0.26
CUSTOMER_0798,2.0,2,380.78,0.17
CUSTOMER_0799,46.0,3,263.66,0.46
CUSTOMER_0800,10.0,7,584.92,0.17
CUSTOMER_0801,17.0,10,1618.83,0.31
CUSTOMER_0802,35.0,5,923.3,0.27
CUSTOMER_0803,12.0,1,100.14,0.31
CUSTOMER_0804,2.0,2,301.31,0.34
CUSTOMER_0805,14.0,16,2414.23,0.27
CUSTOMER_0806,87.0,10,927.67,0.32
CUSTOMER_0807,31.0,8,930.68,0.41
CUSTOMER_0808,33.0,10,1584.65,0.33
CUSTOMER_0809,30.0,19,2650.4,0.45
CUSTOMER_0810,7.0,7,337.33,0.08
CUSTOMER_0811,16.0,17,1517.12,0.33
CUSTOMER_0812,42.0,9,570.28,0.15
CUSTOMER_0813,3.0,5,417.65,0.41
CUSTOMER_0814,10.0,4,687.16,0.12
CUSTOMER_0815,10.0,1,62.78,0.48
CUSTOMER_0816,17.0,2,156.47,0.28
CUSTOMER_0817,118.0,7,594.32,0.49
CUSTOMER_0818,2.0,2,252.55,0.55
CUSTOMER_0819,22.0,10,1169.48,0.24
CUSTOMER_0820,6.0,2,159.92,0.23
CUSTOMER_0821,106.0,1,97.35,0.32
CUSTOMER_0822,4.0,3,253.27,0.26
CUSTOMER_0823,16.0,2,197.3,0.27
CUSTOMER_0824,40.0,7,575.74,0.42
CUSTOMER_0825,37.0,12,2089.85,0.43
CUSTOMER_0826,16.0,5,550.49,0.1
CUSTOMER_0827,13.0,3,146.23,0.47
CUSTOMER_0828,15.0,4,632.09,0.03
CUSTOMER_0829,9.0,5,421.43,0.16
CUSTOMER_0830,7.0,2,244.78,0.32
CUSTOMER_0831,20.0,11,914.87,0.12
CUSTOMER_0832,9.0,10,1262.84,0.3
CUSTOMER_0833,10.0,2,281.76,0.43
CUSTOMER_0834,32.0,1,164.96,0.47
CUSTOMER_0835,104.0,1,101.8,0.26
CUSTOMER_0836,28.0,12,1082.11,0.28
CUSTOMER_0837,2.0,7,747.04,0.57
CUSTOMER_0838,2.0,4,691.99,0.13
CUSTOMER_0839,91.0,4,672.2,0.29
CUSTOMER_0840,11.0,1,77.74,0.17
CUSTOMER_0841,3.0,2,151.45,0.34
CUSTOMER_0842,27.0,1,118.03,0.69
CUSTOMER_0843,29.0,5,302.8,0.18
CUSTOMER_0844,31.0,10,920.82,0.37
CUSTOMER_0845,9.0,5,334.94,0.32
CUSTOMER_0846,1.0,2,262.83,0.16
CUSTOMER_0847,101.0,3,519.53,0.58
CUSTOMER_0848,9.0,7,1280.85,0.34
CUSTOMER_0849,34.0,1,125.98,0.2
CUSTOMER_0850,37.0,7,850.92,0.25
CUSTOMER_0851,28.0,1,160.8,0.1
CUSTOMER_0852,11.0,9,533.94,0.38
CUSTOMER_0853,9.0,1,131.87,0.38
CUSTOMER_0854,27.0,10,1009.99,0.31
CUSTOMER_0855,60.0,7,523.2,0.27
CUSTOMER_0856,88.0,7,693.36,0.39
CUSTOMER_0857,3.0,4,182.75,0.53
CUSTOMER_0858,5.0,5,675.1,0.46
CUSTOMER_0859,87.0,1,97.05,0.06
CUSTOMER_0860,40.0,6,467.43,0.1
CUSTOMER_0861,64.0,2,146.44,0.27
CUSTOMER_0862,7.0,2,333.88,0.36
CUSTOMER_0863,27.0,9,1030.86,0.35
CUSTOMER_0864,36.0,12,1462.91,0.29
CUSTOMER_0865,34.0,8,933.76,0.18
CUSTOMER_0866,16.0,12,1213.61,0.26
CUSTOMER_0867,1.0,2,167.48,0.26
CUSTOMER_0868,26.0,8,1183.24,0.18
CUSTOMER_0869,9.0,10,608.27,0.03
CUSTOMER_0870,18.0,14,828.06,0.11
CUSTOMER_0871,95.0,8,1116.3,0.35
CUSTOMER_0872,15.0,8,569.16,0.21
CUSTOMER_0873,55.0,4,364.77,0.21
CUSTOMER_0874,6.0,3,303.52,0.56
CUSTOMER_0875,33.0,1,87.79,0.34
CUSTOMER_0876,113.0,7,962.53,0.11
CUSTOMER_0877,3.0,9,1132.66,0.08
CUSTOMER_0878,1.0,2,266.92,0.37
CUSTOMER_0879,17.0,2,306.02,0.14
CUSTOMER_0880,3.0,1,80.81,0.07
CUSTOMER_0881,41.0,6,500.98,0.26
CUSTOMER_0882,74.0,8,849.84,0.22
CUSTOMER_0883,17.0,5,466.25,0.46
CUSTOMER_0884,9.0,4,698.94,0.33
CUSTOMER_0885,17.0,10,1539.4,0.29
CUSTOMER_0886,39.0,1,77.54,0.09
CUSTOMER_0887,1.0,18,856.03,0.54
CUSTOMER_0888,27.0,11,548.14,0.44
CUSTOMER_0889,29.0,1,51.3,0.69
CUSTOMER_0890,30.0,11,677.35,0.43
CUSTOMER_0891,8.0,10,1185.99,0.25
CUSTOMER_0892,38.0,1,160.95,0.18
CUSTOMER_0893,3.0,1,133.3,0.39
CUSTOMER_0894,7.0,5,390.42,0.43
CUSTOMER_0895,63.0,6,603.99,0.06
CUSTOMER_0896,40.0,6,666.03,0.25
CUSTOMER_0897,1.0,11,1699.14,0.06
CUSTOMER_0898,9.0,4,606.09,0.26
CUSTOMER_0899,7.0,7,1188.4,0.45
CUSTOMER_0900,9.0,8,904.74,0.43
CUSTOMER_0901,9.0,4,546.19,0.03
CUSTOMER_0902,2.0,7,419.99,0.31
CUSTOMER_0903,18.0,6,728.69,0.09
CUSTOMER_0904,40.0,4,332.19,0.13
CUSTOMER_0905,28.0,5,528.23,0.32
CUSTOMER_0906,34.0,6,780.45,0.24
CUSTOMER_0907,3.0,4,334.05,0.12
CUSTOMER_0908,91.0,10,528.46,0.3
CUSTOMER_0909,55.0,5,223.38,0.31
CUSTOMER_0910,49.0,3,141.48,0.1
CUSTOMER_0911,52.0,12,550.56,0.32
CUSTOMER_0912,81.0,1,70.0,0.29
CUSTOMER_0913,24.0,8,611.31,0.44
CUSTOMER_0914,7.0,9,665.98,0.49
CUSTOMER_0915,29.0,5,930.46,0.26
CUSTOMER_0916,41.0,5,450.35,0.39
CUSTOMER_0917,40.0,7,420.2,0.25
CUSTOMER_0918,22.0,5,604.67,0.23
CUSTOMER_0919,2.0,7,1128.14,0.42
CUSTOMER_0920,14.0,8,1100.14,0.44
CUSTOMER_0921,76.0,2,172.69,0.29
CUSTOMER_0922,26.0,10,1231.97,0.46
CUSTOMER_0923,23.0,7,997.45,0.28
CUSTOMER_0924,9.0,5,715.23,0.13
CUSTOMER_0925,14.0,5,695.76,0.28
CUSTOMER_0926,68.0,6,980.02,0.22
CUSTOMER_0927,33.0,6,977.21,0.35
CUSTOMER_0928,46.0,4,498.91,0.2
CUSTOMER_0929,18.0,9,925.4,0.33
CUSTOMER_0930,30.0,5,658.24,0.27
CUSTOMER_0931,9.0,6,921.02,0.36
CUSTOMER_0932,37.0,1,30.74,0.24
CUSTOMER_0933,17.0,11,1948.14,0.01
CUSTOMER_0934,18.0,8,529.69,0.24
CUSTOMER_0935,31.0,8,850.27,0.2
CUSTOMER_0936,83.0,16,2600.1,0.7
CUSTOMER_0937,2.0,20,1509.67,0.5
CUSTOMER_0938,52.0,10,1088.25,0.23
CUSTOMER_0939,10.0,13,770.57,0.33
CUSTOMER_0940,18.0,7,719.84,0.13
CUSTOMER_0941,1.0,9,641.95,0.2
CUSTOMER_0942,11.0,1,103.0,0.25
CUSTOMER_0943,21.0,3,324.4,0.68
CUSTOMER_0944,2.0,7,1234.0,0.11
CUSTOMER_0945,20.0,4,754.95,0.42
CUSTOMER_0946,79.0,20,1190.62,0.38
CUSTOMER_0947,3.0,8,1148.82,0.16
CUSTOMER_0948,43.0,17,858.28,0.5
CUSTOMER_0949,16.0,6,294.75,0.38
CUSTOMER_0950,32.0,2,126.16,0.4
CUSTOMER_0951,9.0,2,347.59,0.33
CUSTOMER_0952,5.0,4,702.34,0.36
CUSTOMER_0953,5.0,4,286.7,0.18
CUSTOMER_0954,2.0,2,123.2,0.42
CUSTOMER_0955,6.0,5,376.02,0.46
CUSTOMER_0956,33.0,15,1735.2,0.19
CUSTOMER_0957,64.0,10,1206.03,0.41
CUSTOMER_0958,50.0,10,767.46,0.2
CUSTOMER_0959,35.0,2,318.74,0.28
CUSTOMER_0960,4.0,7,574.15,0.16
CUSTOMER_0961,10.0,2,361.63,0.15
CUSTOMER_0962,11.0,3,442.18,0.22
CUSTOMER_0963,9.0,17,1771.47,0.28
CUSTOMER_0964,22.0,11,1680.0,0.14
CUSTOMER_0965,23.0,3,487.0,0.34
CUSTOMER_0966,13.0,8,668.21,0.13
CUSTOMER_0967,13.0,9,821.4,0.31
CUSTOMER_0968,53.0,7,1173.19,0.36
CUSTOMER_0969,47.0,17,1145.85,0.22
CUSTOMER_0970,11.0,15,770.32,0.47
CUSTOMER_0971,74.0,1,116.62,0.28
CUSTOMER_0972,92.0,13,2012.43,0.28
CUSTOMER_0973,12.0,2,282.85,0.38
CUSTOMER_0974,13.0,7,1173.3,0.34
CUSTOMER_0975,21.0,5,622.82,0.28
CUSTOMER_0976,85.0,4,231.03,0.09
CUSTOMER_0977,63.0,6,750.84,0.32
CUSTOMER_0978,3.0,4,598.99,0.06
CUSTOMER_0979,15.0,3,156.36,0.16
CUSTOMER_0980,24.0,4,305.71,0.11
CUSTOMER_0981,21.0,3,129.42,0.33
CUSTOMER_0982,6.0,13,1604.31,0.2
CUSTOMER_0983,59.0,7,1143.95,0.3
CUSTOMER_0984,34.0,5,637.66,0.12
CUSTOMER_0985,55.0,1,164.55,0.17
CUSTOMER_0986,59.0,9,462.22,0.12
CUSTOMER_0987,41.0,12,2015.21,0.58
CUSTOMER_0988,17.0,18,2774.72,0.15
CUSTOMER_0989,28.0,7,629.71,0.16
CUSTOMER_0990,5.0,2,380.82,0.49
CUSTOMER_0991,34.0,2,183.37,0.32
CUSTOMER_0992,6.0,11,1811.31,0.34
CUSTOMER_0993,36.0,10,1641.83,0.17
CUSTOMER_0994,8.0,4,558.64,0.34
CUSTOMER_0995,4.0,10,1208.01,0.2
CUSTOMER_0996,5.0,8,472.39,0.33
CUSTOMER_0997,1.0,4,481.15,0.4
CUSTOMER_0998,38.0,10,983.13,0.24
CUSTOMER_0999,40.0,8,1225.59,0.53
CUSTOMER_1000,22.0,15,2170.39,0.37
